q,h,dh,l,dl,f,df,my,s,m
 170, 0.149091, 0.002409,913.280762,-1.096885,-913.131671, 1.099295,913.429437,913.429853,913.280762
 171, 0.151515, 0.002439,912.183893,-1.096853,-912.032378, 1.099292,912.334985,912.335408,912.183893
 172, 0.153968, 0.002468,911.087056,-1.096821,-910.933088, 1.099289,911.240594,911.241024,911.087056
 173, 0.156451, 0.002498,909.990251,-1.096788,-909.833800, 1.099286,910.146265,910.146703,909.990251
 174, 0.158964, 0.002528,908.893479,-1.096755,-908.734515, 1.099283,909.051999,909.052443,908.893479
 175, 0.161507, 0.002558,907.796740,-1.096722,-907.635234, 1.099280,907.957796,907.958247,907.796740
 176, 0.164080, 0.002589,906.700035,-1.096689,-906.535955, 1.099277,906.863656,906.864115,906.700035
 177, 0.166684, 0.002619,905.603363,-1.096655,-905.436679, 1.099274,905.769581,905.770047,905.603363
 178, 0.169319, 0.002650,904.506725,-1.096621,-904.337406, 1.099271,904.675570,904.676044,904.506725
 179, 0.171985, 0.002682,903.410121,-1.096586,-903.238137, 1.099268,903.581625,903.582106,903.410121
 180, 0.174683, 0.002714,902.313552,-1.096552,-902.138870, 1.099265,902.487746,902.488235,902.313552
 181, 0.177412, 0.002746,901.217018,-1.096517,-901.039606, 1.099262,901.393933,901.394430,901.217018
 182, 0.180174, 0.002778,900.120519,-1.096481,-899.940346, 1.099259,900.300188,900.300693,900.120519
 183, 0.182968, 0.002810,899.024056,-1.096446,-898.841088, 1.099256,899.206511,899.207024,899.024056
 184, 0.185794, 0.002843,897.927628,-1.096409,-897.741834, 1.099253,898.112902,898.113423,897.927628
 185, 0.188654, 0.002876,896.831237,-1.096373,-896.642583, 1.099249,897.019362,897.019891,896.831237
 186, 0.191547, 0.002910,895.734882,-1.096336,-895.543335, 1.099246,895.925892,895.926429,895.734882
 187, 0.194474, 0.002944,894.638564,-1.096299,-894.444090, 1.099243,894.832492,894.833038,894.638564
 188, 0.197434, 0.002978,893.542283,-1.096262,-893.344849, 1.099240,893.739164,893.739718,893.542283
 189, 0.200429, 0.003012,892.446040,-1.096224,-892.245611, 1.099236,892.645906,892.646469,892.446040
 190, 0.203458, 0.003047,891.349835,-1.096186,-891.146376, 1.099233,891.552722,891.553293,891.349835
 191, 0.206523, 0.003082,890.253668,-1.096148,-890.047145, 1.099230,890.459610,890.460190,890.253668
 192, 0.209622, 0.003117,889.157539,-1.096109,-888.947917, 1.099226,889.366572,889.367161,889.157539
 193, 0.212757, 0.003153,888.061449,-1.096070,-887.848693, 1.099223,888.273608,888.274206,888.061449
 194, 0.215927, 0.003189,886.965399,-1.096031,-886.749472, 1.099219,887.180719,887.181326,886.965399
 195, 0.219134, 0.003225,885.869388,-1.095991,-885.650254, 1.099216,886.087905,886.088522,885.869388
 196, 0.222377, 0.003261,884.773417,-1.095951,-884.551040, 1.099212,884.995168,884.995794,884.773417
 197, 0.225657, 0.003298,883.677487,-1.095910,-883.451830, 1.099209,883.902508,883.903144,883.677487
 198, 0.228974, 0.003336,882.581597,-1.095869,-882.352623, 1.099205,882.809926,882.810571,882.581597
 199, 0.232328, 0.003373,881.485748,-1.095828,-881.253420, 1.099201,881.717421,881.718076,881.485748
 200, 0.235721, 0.003411,880.389940,-1.095787,-880.154220, 1.099198,880.624996,880.625661,880.389940
 201, 0.239151, 0.003449,879.294175,-1.095745,-879.055024, 1.099194,879.532651,879.533326,879.294175
 202, 0.242620, 0.003488,878.198451,-1.095702,-877.955832, 1.099190,878.440386,878.441071,878.198451
 203, 0.246127, 0.003527,877.102770,-1.095660,-876.856643, 1.099187,877.348203,877.348898,877.102770
 204, 0.249674, 0.003566,876.007132,-1.095616,-875.757459, 1.099183,876.256101,876.256806,876.007132
 205, 0.253260, 0.003606,874.911538,-1.095573,-874.658278, 1.099179,875.164082,875.164798,874.911538
 206, 0.256886, 0.003646,873.815987,-1.095529,-873.559101, 1.099175,874.072147,874.072873,873.815987
 207, 0.260552, 0.003686,872.720480,-1.095485,-872.459928, 1.099171,872.980295,872.981032,872.720480
 208, 0.264259, 0.003727,871.625017,-1.095440,-871.360758, 1.099167,871.888528,871.889276,871.625017
 209, 0.268006, 0.003768,870.529599,-1.095395,-870.261593, 1.099163,870.796847,870.797606,870.529599
 210, 0.271795, 0.003810,869.434227,-1.095350,-869.162432, 1.099159,869.705253,869.706022,869.434227
 211, 0.275626, 0.003851,868.338900,-1.095304,-868.063275, 1.099155,868.613745,868.614526,868.338900
 212, 0.279498, 0.003894,867.243620,-1.095258,-866.964121, 1.099151,867.522326,867.523118,867.243620
 213, 0.283413, 0.003936,866.148385,-1.095211,-865.864972, 1.099147,866.430995,866.431798,866.148385
 214, 0.287370, 0.003979,865.053198,-1.095164,-864.765827, 1.099143,865.339754,865.340568,865.053198
 215, 0.291371, 0.004022,863.958058,-1.095116,-863.666687, 1.099139,864.248602,864.249429,863.958058
 216, 0.295415, 0.004066,862.862965,-1.095068,-862.567550, 1.099135,863.157542,863.158380,862.862965
 217, 0.299503, 0.004110,861.767921,-1.095020,-861.468418, 1.099130,862.066574,862.067424,861.767921
 218, 0.303635, 0.004155,860.672925,-1.094971,-860.369289, 1.099126,860.975698,860.976560,860.672925
 219, 0.307812, 0.004199,859.577978,-1.094922,-859.270166, 1.099122,859.884916,859.885790,859.577978
 220, 0.312034, 0.004245,858.483081,-1.094873,-858.171046, 1.099117,858.794228,858.795115,858.483081
 221, 0.316302, 0.004290,857.388233,-1.094823,-857.071931, 1.099113,857.703635,857.704534,857.388233
 222, 0.320615, 0.004336,856.293435,-1.094772,-855.972821, 1.099108,856.613138,856.614050,856.293435
 223, 0.324974, 0.004383,855.198689,-1.094721,-854.873714, 1.099104,855.522738,855.523663,855.198689
 224, 0.329380, 0.004429,854.103993,-1.094670,-853.774613, 1.099099,854.432435,854.433373,854.103993
 225, 0.333833, 0.004477,853.009349,-1.094618,-852.675516, 1.099095,853.342231,853.343182,853.009349
 226, 0.338334, 0.004524,851.914757,-1.094566,-851.576423, 1.099090,852.252126,852.253090,851.914757
 227, 0.342882, 0.004572,850.820217,-1.094513,-850.477335, 1.099086,851.162121,851.163099,850.820217
 228, 0.347478, 0.004621,849.725730,-1.094460,-849.378252, 1.099081,850.072217,850.073208,849.725730
 229, 0.352124, 0.004670,848.631297,-1.094407,-848.279173, 1.099076,848.982415,848.983420,848.631297
 230, 0.356818, 0.004719,847.536917,-1.094353,-847.180099, 1.099071,847.892716,847.893735,847.536917
 231, 0.361562, 0.004769,846.442592,-1.094298,-846.081030, 1.099067,846.803121,846.804153,846.442592
 232, 0.366355, 0.004819,845.348321,-1.094243,-844.981966, 1.099062,845.713630,845.714676,845.348321
 233, 0.371199, 0.004869,844.254106,-1.094188,-843.882907, 1.099057,844.624244,844.625305,844.254106
 234, 0.376094, 0.004920,843.159946,-1.094132,-842.783852, 1.099052,843.534965,843.536040,843.159946
 235, 0.381040, 0.004972,842.065843,-1.094075,-841.684803, 1.099047,842.445793,842.446883,842.065843
 236, 0.386038, 0.005024,840.971796,-1.094018,-840.585758, 1.099042,841.356729,841.357834,840.971796
 237, 0.391088, 0.005076,839.877806,-1.093961,-839.486718, 1.099037,840.267774,840.268894,839.877806
 238, 0.396190, 0.005129,838.783874,-1.093903,-838.387684, 1.099032,839.178929,839.180064,838.783874
 239, 0.401345, 0.005182,837.690000,-1.093845,-837.288655, 1.099027,838.090195,838.091346,837.690000
 240, 0.406554, 0.005236,836.596185,-1.093786,-836.189630, 1.099022,837.001573,837.002739,836.596185
 241, 0.411817, 0.005290,835.502428,-1.093727,-835.090611, 1.099016,835.913064,835.914245,835.502428
 242, 0.417134, 0.005344,834.408732,-1.093667,-833.991598, 1.099011,834.824668,834.825866,834.408732
 243, 0.422506, 0.005399,833.315095,-1.093606,-832.892589, 1.099006,833.736388,833.737601,833.315095
 244, 0.427933, 0.005455,832.221519,-1.093545,-831.793586, 1.099000,832.648223,832.649452,832.221519
 245, 0.433416, 0.005511,831.128004,-1.093484,-830.694588, 1.098995,831.560174,831.561420,831.128004
 246, 0.438955, 0.005567,830.034551,-1.093422,-829.595596, 1.098990,830.472244,830.473506,830.034551
 247, 0.444551, 0.005624,828.941160,-1.093360,-828.496609, 1.098984,829.384432,829.385711,828.941160
 248, 0.450204, 0.005682,827.847832,-1.093297,-827.397628, 1.098979,828.296740,828.298036,827.847832
 249, 0.455915, 0.005740,826.754567,-1.093233,-826.298652, 1.098973,827.209168,827.210481,826.754567
 250, 0.461683, 0.005798,825.661365,-1.093169,-825.199682, 1.098967,826.121718,826.123049,825.661365
 251, 0.467511, 0.005857,824.568228,-1.093105,-824.100717, 1.098962,825.034391,825.035739,824.568228
 252, 0.473397, 0.005916,823.475156,-1.093040,-823.001758, 1.098956,823.947187,823.948553,823.475156
