q,f,df
 753,-1373.567007, 4.180586
 754,-1369.388312, 4.176803
 755,-1365.213404, 4.173010
 756,-1361.042295, 4.169207
 757,-1356.874994, 4.165393
 758,-1352.711512, 4.161570
 759,-1348.551858, 4.157736
 760,-1344.396044, 4.153891
 761,-1340.244079, 4.150037
 762,-1336.095974, 4.146172
 763,-1331.951738, 4.142297
 764,-1327.811383, 4.138412
 765,-1323.674917, 4.134517
 766,-1319.542351, 4.130612
 767,-1315.413696, 4.126697
 768,-1311.288961, 4.122771
 769,-1307.168157, 4.118836
 770,-1303.051293, 4.114890
 771,-1298.938380, 4.110935
 772,-1294.829428, 4.106969
 773,-1290.724446, 4.102993
 774,-1286.623444, 4.099008
 775,-1282.526434, 4.095012
 776,-1278.433424, 4.091007
 777,-1274.344424, 4.086991
 778,-1270.259444, 4.082966
 779,-1266.178495, 4.078931
 780,-1262.101586, 4.074886
 781,-1258.028727, 4.070831
 782,-1253.959928, 4.066766
 783,-1249.895198, 4.062692
 784,-1245.834548, 4.058607
 785,-1241.777987, 4.054513
 786,-1237.725525, 4.050410
 787,-1233.677171, 4.046296
 788,-1229.632936, 4.042173
 789,-1225.592828, 4.038040
 790,-1221.556858, 4.033898
 791,-1217.525035, 4.029746
 792,-1213.497369, 4.025584
 793,-1209.473870, 4.021413
 794,-1205.454546, 4.017233
 795,-1201.439408, 4.013042
 796,-1197.428464, 4.008843
 797,-1193.421725, 4.004634
 798,-1189.419200, 4.000415
 799,-1185.420898, 3.996187
 800,-1181.426828, 3.991950
 801,-1177.437001, 3.987703
 802,-1173.451425, 3.983447
 803,-1169.470109, 3.979182
 804,-1165.493064, 3.974908
 805,-1161.520297, 3.970624
 806,-1157.551819, 3.966331
 807,-1153.587639, 3.962029
 808,-1149.627765, 3.957717
 809,-1145.672208, 3.953397
 810,-1141.720975, 3.949067
 811,-1137.774076, 3.944729
 812,-1133.831520, 3.940381
 813,-1129.893317, 3.936024
 814,-1125.959475, 3.931659
 815,-1122.030003, 3.927284
 816,-1118.104910, 3.922901
 817,-1114.184204, 3.918508
 818,-1110.267896, 3.914107
 819,-1106.355993, 3.909697
 820,-1102.448505, 3.905278
 821,-1098.545440, 3.900851
 822,-1094.646807, 3.896414
 823,-1090.752614, 3.891969
 824,-1086.862871, 3.887516
 825,-1082.977586, 3.883053
 826,-1079.096768, 3.878582
 827,-1075.220424, 3.874103
 828,-1071.348565, 3.869615
 829,-1067.481197, 3.865119
 830,-1063.618331, 3.860614
 831,-1059.759973, 3.856100
 832,-1055.906133, 3.851579
 833,-1052.056819, 3.847048
 834,-1048.212039, 3.842510
 835,-1044.371801, 3.837963
 836,-1040.536114, 3.833409
 837,-1036.704987, 3.828845
 838,-1032.878426, 3.824274
 839,-1029.056441, 3.819695
 840,-1025.239039, 3.815107
 841,-1021.426229, 3.810512
 842,-1017.618018, 3.805908
 843,-1013.814415, 3.801297
 844,-1010.015428, 3.796677
 845,-1006.221064, 3.792050
 846,-1002.431331, 3.787414
 847,-998.646237, 3.782771
 848,-994.865791, 3.778120
 849,-991.089999, 3.773462
 850,-987.318870, 3.768796
 851,-983.552410, 3.764121
 852,-979.790629, 3.759440
 853,-976.033533, 3.754751
 854,-972.281130, 3.750054
 855,-968.533428, 3.745350
 856,-964.790434, 3.740638
 857,-961.052155, 3.735919
 858,-957.318599, 3.731192
 859,-953.589773, 3.726458
 860,-949.865685, 3.721717
 861,-946.146342, 3.716968
 862,-942.431751, 3.712213
 863,-938.721919, 3.707450
 864,-935.016854, 3.702680
 865,-931.316562, 3.697903
 866,-927.621050, 3.693119
 867,-923.930327, 3.688328
 868,-920.244397, 3.683529
 869,-916.563270, 3.678725
 870,-912.886951, 3.673913
 871,-909.215447, 3.669094
 872,-905.548765, 3.664269
 873,-901.886912, 3.659436
