q,h,dh,l,dl,f,df,s,m
 216, 0.295415, 0.004066,3922.104387,-4.977584,-3921.808972, 4.981650,3922.399802,3922.104387
 217, 0.299503, 0.004110,3917.126913,-4.977364,-3916.827409, 4.981475,3917.426416,3917.126913
 218, 0.303635, 0.004155,3912.149659,-4.977143,-3911.846023, 4.981297,3912.453294,3912.149659
 219, 0.307812, 0.004199,3907.172627,-4.976919,-3906.864815, 4.981119,3907.480440,3907.172627
 220, 0.312034, 0.004245,3902.195821,-4.976694,-3901.883786, 4.980939,3902.507855,3902.195821
 221, 0.316302, 0.004290,3897.219240,-4.976467,-3896.902938, 4.980757,3897.535542,3897.219240
 222, 0.320615, 0.004336,3892.242888,-4.976237,-3891.922273, 4.980574,3892.563503,3892.242888
 223, 0.324974, 0.004383,3887.266766,-4.976006,-3886.941792, 4.980389,3887.591740,3887.266766
 224, 0.329380, 0.004429,3882.290876,-4.975773,-3881.961496, 4.980202,3882.620257,3882.290876
 225, 0.333833, 0.004477,3877.315221,-4.975537,-3876.981388, 4.980014,3877.649054,3877.315221
 226, 0.338334, 0.004524,3872.339803,-4.975300,-3872.001469, 4.979824,3872.678136,3872.339803
 227, 0.342882, 0.004572,3867.364622,-4.975060,-3867.021740, 4.979633,3867.707504,3867.364622
 228, 0.347478, 0.004621,3862.389682,-4.974819,-3862.042204, 4.979440,3862.737161,3862.389682
 229, 0.352124, 0.004670,3857.414985,-4.974575,-3857.062861, 4.979245,3857.767108,3857.414985
 230, 0.356818, 0.004719,3852.440532,-4.974330,-3852.083714, 4.979049,3852.797350,3852.440532
 231, 0.361562, 0.004769,3847.466326,-4.974082,-3847.104765, 4.978851,3847.827888,3847.466326
 232, 0.366355, 0.004819,3842.492369,-4.973832,-3842.126014, 4.978651,3842.858724,3842.492369
 233, 0.371199, 0.004869,3837.518663,-4.973580,-3837.147464, 4.978449,3837.889862,3837.518663
 234, 0.376094, 0.004920,3832.545210,-4.973326,-3832.169116, 4.978246,3832.921304,3832.545210
 235, 0.381040, 0.004972,3827.572012,-4.973069,-3827.190972, 4.978041,3827.953053,3827.572012
 236, 0.386038, 0.005024,3822.599072,-4.972811,-3822.213034, 4.977834,3822.985110,3822.599072
 237, 0.391088, 0.005076,3817.626392,-4.972550,-3817.235304, 4.977626,3818.017480,3817.626392
 238, 0.396190, 0.005129,3812.653973,-4.972287,-3812.257783, 4.977416,3813.050163,3812.653973
 239, 0.401345, 0.005182,3807.681819,-4.972022,-3807.280473, 4.977204,3808.083164,3807.681819
 240, 0.406554, 0.005236,3802.709931,-4.971754,-3802.303376, 4.976990,3803.116485,3802.709931
 241, 0.411817, 0.005290,3797.738311,-4.971484,-3797.326494, 4.976774,3798.150128,3797.738311
 242, 0.417134, 0.005344,3792.766963,-4.971212,-3792.349829, 4.976557,3793.184097,3792.766963
 243, 0.422506, 0.005399,3787.795887,-4.970938,-3787.373381, 4.976337,3788.218393,3787.795887
 244, 0.427933, 0.005455,3782.825088,-4.970661,-3782.397154, 4.976116,3783.253021,3782.825088
 245, 0.433416, 0.005511,3777.854566,-4.970382,-3777.421150, 4.975893,3778.287982,3777.854566
 246, 0.438955, 0.005567,3772.884324,-4.970101,-3772.445369, 4.975668,3773.323279,3772.884324
 247, 0.444551, 0.005624,3767.914365,-4.969817,-3767.469814, 4.975442,3768.358916,3767.914365
 248, 0.450204, 0.005682,3762.944690,-4.969531,-3762.494486, 4.975213,3763.394894,3762.944690
 249, 0.455915, 0.005740,3757.975303,-4.969243,-3757.519388, 4.974982,3758.431218,3757.975303
 250, 0.461683, 0.005798,3753.006206,-4.968952,-3752.544522, 4.974750,3753.467889,3753.006206
 251, 0.467511, 0.005857,3748.037401,-4.968658,-3747.569890, 4.974515,3748.504911,3748.037401
 252, 0.473397, 0.005916,3743.068890,-4.968363,-3742.595493, 4.974279,3743.542287,3743.068890
 253, 0.479343, 0.005976,3738.100676,-4.968064,-3737.621333, 4.974040,3738.580020,3738.100676
 254, 0.485350, 0.006036,3733.132762,-4.967763,-3732.647413, 4.973800,3733.618112,3733.132762
 255, 0.491416, 0.006097,3728.165150,-4.967460,-3727.673734, 4.973557,3728.656567,3728.165150
 256, 0.497544, 0.006159,3723.197843,-4.967154,-3722.700298, 4.973313,3723.695387,3723.197843
 257, 0.503734, 0.006221,3718.230842,-4.966846,-3717.727108, 4.973067,3718.734576,3718.230842
 258, 0.509986, 0.006283,3713.264151,-4.966535,-3712.754166, 4.972818,3713.774137,3713.264151
 259, 0.516300, 0.006346,3708.297773,-4.966222,-3707.781473, 4.972568,3708.814073,3708.297773
 260, 0.522677, 0.006409,3703.331709,-4.965906,-3702.809032, 4.972315,3703.854386,3703.331709
 261, 0.529118, 0.006473,3698.365962,-4.965587,-3697.836844, 4.972060,3698.895081,3698.365962
 262, 0.535624, 0.006538,3693.400536,-4.965266,-3692.864912, 4.971803,3693.936159,3693.400536
 263, 0.542194, 0.006603,3688.435432,-4.964942,-3687.893238, 4.971544,3688.977625,3688.435432
 264, 0.548829, 0.006668,3683.470653,-4.964615,-3682.921824, 4.971283,3684.019482,3683.470653
 265, 0.555530, 0.006734,3678.506202,-4.964286,-3677.950672, 4.971020,3679.061732,3678.506202
 266, 0.562298, 0.006801,3673.542082,-4.963954,-3672.979784, 4.970755,3674.104380,3673.542082
